Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
9.0,BOWL,Adam Zampa,AUS,39166,4667.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,16,0,43.75,0.0,0,0,0,0,0,0,0,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,39172,4667.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0.0,6.885245901639344,70,61,1,0,0,0,1,0,0,10,0,24
9.0,BOWL,Adam Zampa,AUS,39278,4671.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0.0,5.64,47,50,4,0,0,0,2,0,0,8,0,113
9.0,BOWL,Adam Zampa,AUS,39374,4675.0,"M Chinnaswamy Stadium, Bengaluru",1,2,0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,39395,4675.0,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0.0,5.409836065573771,55,61,4,0,0,0,3,0,0,10,0,113
9.0,BOWL,Adam Zampa,AUS,39573,4681.0,"Arun Jaitley Stadium, Delhi",1,1,0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,39596,4681.0,"Arun Jaitley Stadium, Delhi",0,0,0,0.0,2.6666666666666665,8,18,4,0,0,0,0,0,0,3,0,115
9.0,BOWL,Adam Zampa,AUS,39692,4684.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,3,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,39715,4684.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,0,0.0,7.4,74,60,3,0,0,0,0,0,0,10,0,76
9.0,BOWL,Adam Zampa,AUS,39954,4693.0,"Narendra Modi Stadium, Ahmedabad",13,19,1,68.42105263157895,0.0,0,0,0,0,0,0,0,4,0,0,0,15
9.0,BOWL,Adam Zampa,AUS,39975,4693.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,2.129032258064516,22,62,3,0,0,0,3,0,0,10,0,82
9.0,BOWL,Adam Zampa,AUS,39990,4693.0,"Narendra Modi Stadium, Ahmedabad",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
